reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
b2d7c3ca-a497-4017-ad17-208568e76059,ASHIS BEHERA,https://play-lh.googleusercontent.com/a-/ALV-UjXQaZSbu7GqRU1cue_29Jvr_spW7eUX-l06tfFVuNjfeil9F54,Please solve email delete notification,5,0,469.2.0.51.80,2024-10-26 11:14:26,,,469.2.0.51.80,Facebook
6f823818-e2f8-4709-ba20-f95395902043,Dennis Markovich,https://play-lh.googleusercontent.com/a/ACg8ocJFRk2aSLfLJiG9_jxQVjgGhc1thk_hHUeBO5Zv1t9rqF6RNg=mo,An excellent SM platform!!,5,0,487.1.0.74.74,2024-10-26 11:13:09,,,487.1.0.74.74,Facebook
5c8a8b1a-2b9e-49f0-8298-26ec903f58c4,MD aihtasham Alam,https://play-lh.googleusercontent.com/a-/ALV-UjXq0BUIsCQhJpgMtOgRKbl7MJPKJWVoX1SkNXMiS-KX4oeuxFNr,best,4,0,486.0.0.66.70,2024-10-26 11:12:51,,,486.0.0.66.70,Facebook
b5f494d0-a585-4be9-9cfa-f53c732c49ab,Meherunnesa Mukta,https://play-lh.googleusercontent.com/a-/ALV-UjV-XJzdT2xbkJE3m-FB6lzcYFS5RirmlkYZiRBd3JRjRGz30gCd,congratulations!!!!!,5,0,486.0.0.66.70,2024-10-26 11:12:20,,,486.0.0.66.70,Facebook
74cf4233-004d-48f0-98e3-f5aa13f19721,NaisyahNia NainNia,https://play-lh.googleusercontent.com/a/ACg8ocLjM6oB9ocSNV6wSAxeBdEh80qarnkvOqME86QJw259WDwBrQ=mo,baik,5,0,487.1.0.74.74,2024-10-26 11:11:39,,,487.1.0.74.74,Facebook
1f9b8038-053b-48c2-b665-6b7630f3d138,sumit kumar upadhyay,https://play-lh.googleusercontent.com/a/ACg8ocKTGwDLAbvWsvRUDpYcw5ryW2U7_viA8TmgbyEPQ5kITMQOYQ=mo,good,5,0,486.0.0.66.70,2024-10-26 11:10:13,,,486.0.0.66.70,Facebook
5303c086-9ffd-49f5-aceb-8e2e734afabf,Ajmal Ajmal Hafiz,https://play-lh.googleusercontent.com/a/ACg8ocL9NPrhM0hWmDkoeg7PY4ynDXNVwetByC6OvQ4TEfIV5WGoLA=mo,Ok,5,0,486.0.0.66.70,2024-10-26 11:09:38,,,486.0.0.66.70,Facebook
38ab237f-37b6-40f7-a5db-32a694e64279,Win Ngwe,https://play-lh.googleusercontent.com/a/ACg8ocI64KdajU7v9H5JEW-b5b5g2q58BPKY6dvP_wYe8dFoM8C05w=mo,Akan Good,5,0,487.1.0.74.74,2024-10-26 11:09:27,,,487.1.0.74.74,Facebook
c01be35c-8dc6-41a0-bfa0-15721434b969,Babita Dhiman,https://play-lh.googleusercontent.com/a/ACg8ocJgCVKYrzmFonrP7IllSzNBUaxlm_w6j6MiSei-D82TePK2bw=mo,Nice 👍,5,0,486.0.0.66.70,2024-10-26 11:08:32,,,486.0.0.66.70,Facebook
9ec2cfaf-5268-4fee-9489-e23043fed67b,Aranya Bhattacharya,https://play-lh.googleusercontent.com/a/ACg8ocJZhrdJ0XdYAk3u9oxMxOLlQZ5JLtKaKsGJlTX2zXD5hfCi0g=mo,very good,4,0,486.0.0.66.70,2024-10-26 11:08:05,,,486.0.0.66.70,Facebook
115ecd8c-023f-4a1f-91bc-4f4a86b67ae2,Prakash Sahu,https://play-lh.googleusercontent.com/a-/ALV-UjXrfHhXewgr87ljtPxqJHHQ12thd-_DcBw6CtWtOifAzoPnYuqF,good,5,0,486.0.0.66.70,2024-10-26 11:07:24,,,486.0.0.66.70,Facebook
dd6b4382-22b7-40fd-96b1-563162c82a0d,ABDUL BASET,https://play-lh.googleusercontent.com/a-/ALV-UjU3o_7BblmHGSbaVkk_WQCVHj7SYZEmTjYKf5duMp3Jd-omPU4,good,3,0,486.0.0.66.70,2024-10-26 11:05:58,,,486.0.0.66.70,Facebook
ed97843e-c5fa-465f-a299-650a22a1c104,meektheshy,https://play-lh.googleusercontent.com/a/ACg8ocJjGVksuF4mJMq4M7opNM81frgKm1m23zE0PLb8KuMXwpLxTQ=mo,"Stop giving me notifications about friend suggestions. If I wanted them as a friend, I'd look for them on my own. I don't need some dumb ai constantly giving me suggestions. I swear you wonder why nobody uses this dumb app anymore, lol.",1,1,486.0.0.66.70,2024-10-26 11:05:15,,,486.0.0.66.70,Facebook
778bbef0-3ca2-403a-bf0d-7a8993f14bfa,Mst Popi Akther,https://play-lh.googleusercontent.com/a/ACg8ocLt5hjnCGDt2IsCVlQ8HkV6vT8Gq5GhJuo8gePqvk3pvp5nzw=mo,great,5,0,484.0.0.63.83,2024-10-26 11:05:12,,,484.0.0.63.83,Facebook
3b226944-c087-4828-abfd-fd78ac9d74ff,Sunita Devi,https://play-lh.googleusercontent.com/a/ACg8ocKMEohUfUS1GQoWiptOcZf6Nmdp5HmHhzGcC4uxRhwKdoy23g=mo,Request Dear facebook when I try to post or doing like or comment I am facing you can't use this feature right now please help me to fix it as soon as possible,1,0,487.1.0.74.74,2024-10-26 11:04:32,,,487.1.0.74.74,Facebook
bc1cf252-0e3d-43a5-ae74-1e217bacf703,Siddhartha Chakroborty,https://play-lh.googleusercontent.com/a-/ALV-UjXvSRFtPBroFU5mxD1-aEDTP0_s-gZG-8m1tbnCqqls2ahPojCBww,nice feelings 🫶😄,5,0,486.0.0.66.70,2024-10-26 11:02:24,,,486.0.0.66.70,Facebook
00b563b4-453b-4132-a891-e26c68e6e3f3,Said Amin,https://play-lh.googleusercontent.com/a-/ALV-UjUOVPf02gjr8f9CALTCFkabyAW65rbj-01Zf-anspzqpK3xug4,Osam,5,0,,2024-10-26 11:00:49,,,,Facebook
81b557e0-ced2-427b-aa9e-c7ae2635b1c3,Khan Afridi,https://play-lh.googleusercontent.com/a-/ALV-UjUm0WONgHqyjno1y2TudV9rg0pzgh-KhiwkHkpEjQ8_0mTFeB8,"For many days we have this problem in Facebook that if we play a long video, it comes in short format.",1,0,444.0.0.31.114,2024-10-26 11:00:29,,,444.0.0.31.114,Facebook
af2758b1-dfa5-4f6f-86dc-d4f407565fd5,Sharmila Hassan,https://play-lh.googleusercontent.com/a/ACg8ocL8cbf_OgsCDYtgi00gAKgvwbGQPBi1OlhYzWFjkkKtgQESQQ=mo,It's like you tube but different lucky start Yes 👍 good,5,0,,2024-10-26 10:59:35,,,,Facebook
